"","id","Year","Region","Party","Alignment","Votes N","Votes %"
"1","1",1994,"Netherlands","VVD","Centre-Right",1787293,19.93
"2","2",1994,"Netherlands","PvdA","Centre-Left",2151589,23.99
"3","3",1994,"Netherlands","PVV","Right-Wing",NA,NA
"4","4",1994,"Netherlands","SP","Left-Wing",118732,1.32
"5","5",1994,"Netherlands","CDA","Centre",1994479,22.24
"6","6",1994,"Netherlands","D66","Centre",1389242,15.49
"7","7",1994,"Netherlands","CU","Centre",NA,NA
"8","8",1994,"Netherlands","GL","Left-Wing",310629,3.46
"9","9",1994,"Netherlands","SGP","Right-Wing",155193,1.73
"10","10",1994,"Netherlands","PvdD","Left-Wing",NA,NA
"11","11",1994,"Netherlands","50PLUS","Centre",NA,NA
"12","12",1998,"Netherlands","VVD","Centre-Right",2124971,24.69
"13","13",1998,"Netherlands","PvdA","Centre-Left",2494555,28.98
"14","14",1998,"Netherlands","PVV","Right-Wing",NA,NA
"15","15",1998,"Netherlands","SP","Left-Wing",303703,3.53
"16","16",1998,"Netherlands","CDA","Centre",1581053,18.37
"17","17",1998,"Netherlands","D66","Centre",773497,8.99
"18","18",1998,"Netherlands","CU","Centre",NA,NA
"19","19",1998,"Netherlands","GL","Left-Wing",625968,7.27
"20","20",1998,"Netherlands","SGP","Right-Wing",153583,1.78
"21","21",1998,"Netherlands","PvdD","Left-Wing",NA,NA
"22","22",1998,"Netherlands","50PLUS","Centre",NA,NA
"23","23",2002,"Netherlands","VVD","Centre-Right",1466722,15.44
"24","24",2002,"Netherlands","PvdA","Centre-Left",1436023,15.11
"25","25",2002,"Netherlands","PVV","Right-Wing",NA,NA
"26","26",2002,"Netherlands","SP","Left-Wing",560447,5.9
"27","27",2002,"Netherlands","CDA","Centre",2653723,27.93
"28","28",2002,"Netherlands","D66","Centre",484317,5.1
"29","29",2002,"Netherlands","CU","Centre",240953,2.54
"30","30",2002,"Netherlands","GL","Left-Wing",660692,6.95
