Region,Year,Total Immigration,Total non-western immigrants,Morroco,(Former) Ned. Antilles and Aruba,Suriname,Turkey,Other non-western immigrants
Groningen (PV),2010,74209,33494,1602,4890,6176,4694,16132
Groningen (PV),2012,78504,35382,1675,5061,6259,4803,17584
Friesland (PV),2010,54618,23422,2146,2206,2984,1654,14432
Friesland (PV),2012,56019,23957,2152,2304,3043,1707,14751
Drenthe (PV),2010,43589,15861,1476,1228,1833,1728,9596
Drenthe (PV),2012,44248,16593,1525,1274,1856,1915,10023
Overijssel (PV),2010,160493,81501,4290,4348,5273,35133,32457
Overijssel (PV),2012,163902,83756,4257,4512,5360,35275,34352
Flevoland (PV),2010,104389,72402,10120,6982,25758,5881,23661
Flevoland (PV),2012,109757,76327,10509,7125,26634,6153,25906
Gelderland (PV),2010,283010,131059,20017,8739,11181,39098,52024
Gelderland (PV),2012,288869,134676,20618,8944,11400,39528,54186
Utrecht (PV),2010,246222,143943,48051,8082,18582,26185,43043
Utrecht (PV),2012,255159,150117,50283,8227,18649,26805,46153
Noord-Holland (PV),2010,744849,450485,95403,24129,99840,77302,153811
Noord-Holland (PV),2012,777455,469950,99325,24765,100614,79550,165696
Zuid-Holland (PV),2010,975789,634642,107784,57350,146109,126872,196527
Zuid-Holland (PV),2012,1025009,664167,112968,60703,148305,130849,211342
Zeeland (PV),2010,59123,18180,2206,1853,2498,3220,8403
Zeeland (PV),2012,60798,18857,2343,1840,2530,3235,8909
Noord-Brabant (PV),2010,390466,190745,39255,14884,18972,50103,67531
Noord-Brabant (PV),2012,406324,198574,40504,15344,19054,50854,72818
Limburg (PV),2010,222846,62560,16655,3729,3073,12087,27016
Limburg (PV),2012,228149,65295,16795,3893,3093,12249,29265
